CORRESPONDANCE DES CHAMPS ,,,,,,,
 Intitulés à rentrer dans le site orientation-pour-tous,Nb de formations environ,Champs des offres de formation dans l'ATC formation des Jobboards ,,,,,
REFERENTIEL   (à taper dans le champ recherche),,Type d'activité,Type d'activité ,Menu Type de contrat * ,Durée,Menu Niveau d'étude requis ,Menu Niveau d'étude final
 titre assistant de vie aux famille,204,Employé de maison ,,Formation métier classique ,NC,Pas de niveau requis ,CAP/BEP
Auxiliaire de vie ,401,Auxiliaire de vie ,,Formation métier classique ,1 an,Pas de niveau requis ,CAP / BEP
Aide soignant ,1465,Aide soignant ,,Formation métier classique ,1 an,Pas de niveau requis ,CAP / BEP
ASH,102,ASH,,Formation métier classique ,NC,Pas de niveau requis ,CAP / BEP
Ergothérapeute ,35,Ergothérapeute ,,Formation métier classique ,3 ans ,Bac ou Bac Pro,Bac + 3
kinesitherapeute,82,Masseur-Kiné ,,Formation métier classique ,3 ans ,Bac ou Bac Pro,Bac + 3
Podoogue,26,Podologue ,,Formation métier classique ,3 ans ,Bac ou Bac Pro,Bac + 3
Technicien intervention sociale et familiale,IDEM JOBENFANCE ,TISF,,,,,
Aide Médico Psychologique,IDEM JOBENFANCE ,Aide Médico Psychologique,,,,,
Psychomotricien ,IDEM JOBENFANCE ,Psychomotricien ,,,,,
DEASS,IDEM JOBENFANCE ,Assistante sociale,,,,,
Infirmier ,IDEM JOBENFANCE ,Infirmier ,,,,,
Educateur spécialisé ,IDEM JOBENFANCE ,Educateur spécialisé ,,,,,
Orthophoniste,IDEM JOBENFANCE ,Orthophoniste ,,,,,
CAFERUIS,IDEM JOBENFANCE ,Directeur d'établissement,,,,,
CAFDES,IDEM JOBENFANCE ,Directeur d'établissement,,,,,
,,,,* certaines formations montrent dans leur titre qu'elle relévent de la VAE ou autre dans ce cas les classer dans la bonne catégorie,,,
* ,2111,,,,,,
